"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ComplexClass",11,0.0797101449275362,0.271830620375449,0.0738918861737015,0,0,0,0,1,3.10355742957705,10.6320687186829,7.47873731242797e-23,4.60477102004475e-08
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",9,0.0652173913043478,0.247808548043961,0.061409076483656,0,0,0,0,1,3.52180362530249,13.4031007751938,2.55444148565289e-23,8.80226896593506e-07
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",20,0.144927536231884,0.353310199259029,0.124828096900455,0,0,0,0,1,2.01729807550192,5.06949152542373,4.34082318298672e-21,3.77028408493629e-11
"LOC",4728,34.2608695652174,36.5002358452187,1332.26721675659,5,13,24.5,37,247,2.82304950155709,13.2252137483284,9.36592276629292e-16,1.0887921619851e-07
"all",5,0.036231884057971,0.425628265379374,0.181159420289855,0,0,0,0,5,11.6192641449479,136.007299270073,8.2475298314385e-26,0.00652262697821016
