"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",4,0.00867678958785249,0.0928450420306375,0.00862020182967085,0,0,0,0,1,10.595223109271,113.25875273523,2.03527639068504e-42,9.49695884377988e-07
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",2,0.00433839479392625,0.0657948592284836,0.00432896350089597,0,0,0,0,1,15.0832475713447,228.504357298475,8.15263181051979e-43,0
"ComplexClass",32,0.06941431670282,0.254433479243208,0.0647363953598038,0,0,0,0,1,3.38833913216964,12.4808420745921,7.11061887904398e-39,0
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",8,0.017353579175705,0.130726825750713,0.0170895029708573,0,0,0,0,1,7.39206737280919,55.6426600441501,9.5188343307971e-42,0.0463328466219955
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",46,0.0997830802603037,0.334306479758847,0.111760822408752,0,0,0,0,2,3.50374662486779,15.501801527533,5.73848292761455e-38,0
"LOC",18721,40.6095444685466,47.882458392908,2292.72982174856,2,11,24,48,381,2.74523742687202,13.8885461636357,9.08480718775794e-28,0
"all",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
