"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",4,0.0263157894736842,0.160601865553424,0.0257929592192402,0,0,0,0,1,5.91836354299286,36.027027027027,6.76508809158484e-26,0.00488649128567531
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ComplexClass",6,0.0394736842105263,0.195362761483391,0.0381666085744162,0,0,0,0,1,4.7301616487964,23.3744292237443,2.52111467841267e-25,0.00043014198044744
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",5,0.0328947368421053,0.178950700151462,0.0320233530846985,0,0,0,0,1,5.23774890629955,28.4340136054422,1.33296893586549e-25,0.0021833997575369
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",15,0.0986842105263158,0.320592754419259,0.102779714186128,0,0,0,0,2,3.27865791641876,13.6692800798436,2.0402088666382e-23,2.53219667456506e-12
"LOC",5172,34.0263157894737,28.9241866681878,836.608574416173,3,13,26,45,151,1.6153038909718,5.6122530925732,6.23442082142568e-12,0.00333187123287393
"all",114,0.75,6.62850557009008,43.9370860927152,0,0,0,0,81,11.8036408034697,143.234499206808,1.3698878407046e-26,0
