"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","43","","0.325131289132814","","0.000229366806032639","","","","7.10183385801932e-05","","","","",""
"Blob","2","0.0713638487622621","","","0.69800831342013","","","","0.470149968897895","","","","",""
"ClassDataShouldBePrivate","1","0.735698257834394","0.94144454972489","","0.402049011426544","","","","0.612009501614729","","","","",""
"ComplexClass","32","0.0103681537832982","0.193677142560434","","","","","","0.71097352403112","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","0","","","","","","","","","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","11","0.875357647724006","0.747988373532326","","0.732787559467526","","","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
