"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",8,0.00368663594470046,0.0606196180110196,0.00367473808780193,0,0,0,0,1,16.3784523163064,269.253700277521,5.1251876875175e-74,0
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",24,0.0110599078341014,0.104607021556675,0.0109426289589588,0,0,0,0,1,9.35028610600003,88.4278502640572,4.49699982055258e-73,0
"ComplexClass",108,0.0497695852534562,0.217518683100448,0.0473143774977532,0,0,0,0,1,4.14064837027358,18.1449689262492,1.14829549409904e-69,0
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",80,0.0368663594470046,0.188477057785063,0.0355236013113138,0,0,0,0,1,4.91561567984741,25.1632775119617,1.17476627058823e-70,0
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",220,0.101382488479263,0.348675854239872,0.121574851329904,0,0,0,0,3,3.78072528966714,18.617273807558,3.32759757267782e-67,0
"LOC",85178,39.252534562212,68.1216253276433,4640.55583727981,2,11,21,44,1583,9.8398927217655,165.493124042704,3.40307558000348e-64,0
"all",3103,1.42995391705069,36.7267573304388,1348.85470400894,0,0,0,0,1666,43.1591902506488,1947.52187515603,2.26955413293719e-74,0
