"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",13,0.00931899641577061,0.0961185491968613,0.00923877549970946,0,0,0,0,1,10.2135742502178,105.317098964711,2.30065274248564e-63,0
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",16,0.0114695340501792,0.106518154585211,0.011346117256239,0,0,0,0,1,9.176006899005,85.1991026105874,3.88392931101007e-63,2.44326781029258e-12
"ComplexClass",103,0.0738351254480287,0.261596168345973,0.0684325552932949,0,0,0,0,1,3.25935740332622,11.6234106826175,1.40631479579283e-58,0
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",22,0.0157706093189964,0.124631585044328,0.0155330319906615,0,0,0,0,1,7.77335926197411,61.4251142157187,1.03054480835259e-62,3.68604975740094e-05
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",88,0.0630824372759857,0.24319835844284,0.0591454415492922,0,0,0,0,1,3.59438485558911,13.9196024900883,3.20255336523792e-59,0
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",8,0.00573476702508961,0.0926035109068803,0.00857541023228069,0,0,0,0,2,17.8873410667697,346.976484864326,5.35524512834887e-64,0
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",1,0.000716845878136201,0.0267739776300833,0.000716845878136201,0,0,0,0,1,37.3095258259887,1393.00071736011,1.69610237443346e-64,0
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",251,0.179928315412186,0.46532412056746,0.21652653718188,0,0,0,0,4,2.91980198886236,12.9210724986458,1.26951476044138e-54,0
"LOC",110472,79.1913978494624,167.014591190619,27893.8736705697,2,17,37,86,2786,10.4438039271677,155.055611153895,6.95678828360031e-57,0
"all",1645,1.17921146953405,14.623324000709,213.841604829711,0,0,0,0,451,23.188542907934,661.196885666758,1.19065909978104e-63,0
