"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",7,0.0215384615384615,0.145394639308336,0.0211396011396011,0,0,0,0,1,6.59170569785907,44.4505840071878,4.65842267023673e-36,0.00045441731258411
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",7,0.0215384615384615,0.145394639308336,0.0211396011396011,0,0,0,0,1,6.59170569785907,44.4505840071878,4.65842267023673e-36,0.0061390109800219
"ComplexClass",20,0.0615384615384615,0.240685945988525,0.0579297245963913,0,0,0,0,1,3.64905107808754,14.3155737704918,4.92665156105846e-34,2.93098878501041e-14
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",2,0.00615384615384615,0.0783253011581792,0.00613485280151947,0,0,0,0,1,12.6295760796024,160.506191950464,3.90211563949646e-37,1.72458036740153e-07
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",36,0.110769230769231,0.342522900434317,0.117321937321937,0,0,0,0,2,3.148183048694,12.8249274301894,2.34598837155768e-32,0
"LOC",21353,65.7015384615385,72.6414339734879,5276.7779297246,2,22,48,81,584,3.33530099298742,18.7670644932946,3.85070019278879e-24,4.69261296487389e-11
"all",740,2.27692307692308,13.1893939951809,173.960113960114,0,0,0,0,202,11.6849947008567,166.528518853375,1.33429345808476e-35,0
