"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",289,0.0938007140538786,0.291598590864728,0.0850297381942952,0,0,0,0,1,2.78646903493158,8.76440968263254,8.50067981685439e-75,0
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",365,0.118468029860435,0.323213958075933,0.104467262695111,0,0,0,0,1,2.36124642879141,6.57548469748018,2.49887636192249e-73,0
"ComplexClass",233,0.0756247971437845,0.264439754674736,0.0699283838524345,0,0,0,0,1,3.21013827792792,11.304987763418,5.5817198750163e-76,0
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",11,0.0035702693930542,0.0596546528722657,0.00355867760931052,0,0,0,0,1,16.6461554766498,278.094492152798,1.53822562391518e-82,0
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",14,0.00454397922752353,0.0672666343324857,0.00452480009442035,0,0,0,0,1,14.7334990172957,218.075993292654,2.18174683007578e-82,0
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",912,0.296007789678676,0.635538654809826,0.403909381757483,0,0,0,0,3,1.94729602313495,5.29881410958171,1.08306456863965e-68,0
"LOC",190190,61.7299578059072,82.5607830491755,6816.28289769302,2,18,37,72,1149,4.72685649371882,38.3547607324971,1.68130766588886e-65,0
"all",137,0.044466082440766,1.51859771126874,2.30613900867065,0,0,0,0,70,39.6493958689946,1676.88373858313,5.09249013753073e-83,0
