"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",11,0.0391459074733096,0.194288031924931,0.0377478393492628,0,0,0,0,1,4.75249358612879,23.5861952861953,4.95422275963492e-33,2.92413418145898e-07
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",7,0.0249110320284698,0.156132072935987,0.0243772241992883,0,0,0,0,1,6.0965895866552,38.1684045881126,8.94900891992555e-34,0.00315074410817395
"ComplexClass",6,0.0213523131672598,0.144813748866265,0.0209710218607016,0,0,0,0,1,6.6223222146881,44.8551515151515,5.58976089802327e-34,0.0225438044961143
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",30,0.106761565836299,0.309360821608217,0.0957041179461108,0,0,0,0,1,2.54679967390788,7.48618857901726,2.50722025046538e-30,0
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",54,0.192170818505338,0.47668039532611,0.227224199288256,0,0,0,0,3,2.68637231536799,10.621526605085,1.76339829550018e-28,0
"LOC",16105,57.3131672597865,62.1459814032693,3862.1230045755,6,15,39,74,514,3.07468140443515,17.3591458993801,8.16079249981267e-22,1.38644540292887e-10
"all",289,1.02846975088968,8.65690728386317,74.9420437214032,0,0,0,0,113,11.0295933438067,130.937526337925,2.26532155446677e-34,0
