"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",9,0.0276923076923077,0.164342772912431,0.027008547008547,0,0,0,0,1,5.75669975973816,34.1395921237693,1.0700109946201e-35,0.000112683274921865
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",11,0.0338461538461538,0.181111897643932,0.0328015194681861,0,0,0,0,1,5.15562667312019,27.5804863925883,2.32766704949357e-35,1.14350748137149e-06
"ComplexClass",11,0.0338461538461538,0.181111897643932,0.0328015194681861,0,0,0,0,1,5.15562667312019,27.5804863925883,2.32766704949357e-35,2.04580048135394e-06
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",44,0.135384615384615,0.34266150073151,0.117416904083571,0,0,0,0,1,2.13141907335392,5.54294726625688,2.56210938763232e-31,0
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",27,0.0830769230769231,0.27642405179408,0.0764102564102564,0,0,0,0,1,3.02119861377611,10.1276410638827,3.79429995061302e-33,0
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",102,0.313846153846154,0.527010238110347,0.277739791073124,0,0,0,1,2,1.41972911134768,4.06440114759368,1.00189381838597e-26,0
"LOC",36181,111.326153846154,164.082178180877,26922.9611965812,7,18,47,143,1236,3.21107844632383,16.430608900882,6.33013859201793e-26,0
"all",12,0.0369230769230769,0.406569975894858,0.165299145299145,0,0,0,0,5,11.5932977503342,139.177506831099,6.00188495453581e-37,1.84415727133569e-09
