"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",2,0.00431034482758621,0.0655822783038728,0.00430103522752663,0,0,0,0,1,15.1328889840747,230.004329004329,6.32220949436308e-43,0
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",2,0.00431034482758621,0.0655822783038728,0.00430103522752663,0,0,0,0,1,15.1328889840747,230.004329004329,6.32220949436308e-43,0
"ComplexClass",32,0.0689655172413793,0.253668988273748,0.0643479556118269,0,0,0,0,1,3.40206908719886,12.5740740740741,5.37323102303304e-39,0
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",5,0.0107758620689655,0.103357467404971,0.0106827660683697,0,0,0,0,1,9.47686093842193,90.8108932461874,2.37583761722471e-42,3.56296268910761e-06
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",8,0.0172413793103448,0.130310055286139,0.0169807105086765,0,0,0,0,1,7.41738119956424,56.0175438596491,7.32428469564138e-42,0.0482757833261149
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",49,0.105603448275862,0.353401951889509,0.124892939599315,0,0,0,0,2,3.53361965758064,15.6253255793043,5.06636748621939e-38,0
"LOC",27777,59.864224137931,89.6498160425295,8037.08951645937,2,15,33.5,73,1069,5.53748379692674,48.389501026872,2.02763465189508e-33,0
"all",30,0.0646551724137931,0.869522776722293,0.756069859238847,0,0,0,0,17,17.0624930225084,318.415753345402,8.9037186987942e-43,0
