"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","12","","","52.5046704461447","1.07388588088612","","","","1.13055386747632","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","4","52.5046704461447","","","3.98334890620219","","","","12.8301049165943","","","","",""
"ComplexClass","44","1.07388588088607","","3.98334890620244","","","","","4.45650879480571","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","0","","","","","","","","","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","42","1.13055386747629","","12.8301049165939","4.45650879480569","","","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
