"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ComplexClass",1,0.0263157894736842,0.162221421130763,0.0263157894736842,0,0,0,0,1,5.91836354299286,36.027027027027,1.61473651507391e-13,0.500585379932547
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",5,0.131578947368421,0.342569987450104,0.117354196301565,0,0,0,0,1,2.17979704365226,5.75151515151515,2.71385618321617e-11,0.00129351624868712
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",6,0.157894736842105,0.369537021476632,0.136557610241821,0,0,0,0,1,1.87638837486628,4.52083333333333,6.90750448433572e-11,0.000104258259964185
"LOC",1044,27.4736842105263,24.5519161382517,602.796586059744,5,14.25,19.5,35.25,113,2.32352592487432,8.44351571153282,2.72218901094481e-07,0.0154125010146386
"all",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
