"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",5,0.0393700787401575,0.195244039526508,0.0381202349706287,0,0,0,0,1,4.73719153154666,23.4409836065574,2.29412724796079e-23,0.00165919668920933
"ComplexClass",6,0.047244094488189,0.213000771909155,0.0453693288338958,0,0,0,0,1,4.26805030939493,19.2162534435262,4.53639815454281e-23,0.00018806471357935
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",11,0.0866141732283465,0.282382776556818,0.079740032495938,0,0,0,0,1,2.93943568251824,9.64028213166144,8.63403142348143e-22,6.51565780218633e-08
"LOC",4983,39.2362204724409,71.8481044025291,5162.15010623672,2,10,20,37.5,586,5.13663939257767,33.9789794135098,5.69787604586586e-20,1.64147251346947e-10
"all",464,3.65354330708661,26.2667566933301,689.942507186602,0,0,0,0,285,9.97208362299059,105.789965527083,3.31414062378799e-24,0
