"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",34,0.0521472392638037,0.222494563578214,0.0495038308218597,0,0,0,0,1,4.02883193611561,17.2314867694651,1.92588114487039e-45,0
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",39,0.0598159509202454,0.237327600664221,0.056324390037036,0,0,0,0,1,3.71235373467977,14.7815702513908,4.98319024746966e-45,0
"ComplexClass",37,0.0567484662576687,0.231538986403989,0.0536103022249866,0,0,0,0,1,3.83168164429766,15.6817842232476,3.42526449349497e-45,0
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",33,0.0506134969325153,0.219375438699968,0.0481255831048034,0,0,0,0,1,4.10010823647262,17.8108875507906,1.58349000392255e-45,0
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",143,0.219325153374233,0.519417881466873,0.269794935587534,0,0,0,0,4,2.59499697013659,10.552403532547,5.46873891912131e-40,0
"LOC",32812,50.3251533742331,120.508236758757,14522.2351267046,4,15,33,56,2849,19.4575903402235,447.992166416122,7.29442510704339e-46,0
"all",1065,1.63343558282209,11.6029679385731,134.628864983555,0,0,0,0,181,10.4816199360181,129.165007460646,2.09700466101797e-47,0
