"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ComplexClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",7,0.411764705882353,0.507299656195892,0.257352941176471,0,0,0,1,1,0.358568582800318,1.12857142857143,2.14390597713443e-05,0.200688905762485
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",7,0.411764705882353,0.507299656195892,0.257352941176471,0,0,0,1,1,0.358568582800318,1.12857142857143,2.14390597713443e-05,0.150759624376262
"LOC",316,18.5882352941176,19.1932892684182,368.382352941176,1,2,10,28,58,0.75726019834827,2.21446920649718,0.00867435074370044,0.351313653283683
"all",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
